graph,n,original_edges,spanner_edges,k,stretch,edge_reduction_percent,original_weight,spanner_weight,mst_weight,max_stretch,stretch_violations,runtime_ms,weight_over_mst,allowed_stretch,stretch_utilization,general_size_bound,general_size_bound_ratio,planar_size_bound,planar_size_bound_ratio
random_connected_er_p010_n200_p0.100_rep3_seed24002,200,2140,203,5,9.000000,90.514019,110847.000000,1277.000000,1243.000000,8.400000,0,36,1.027353,9.000000,0.933333,577.079962,0.351771,NaN,NaN
random_connected_er_p010_n400_p0.100_rep1_seed44000,400,8281,1462,1,1.000000,82.345127,416725.000000,14360.000000,1352.000000,1.000000,0,630,10.621302,1.000000,1.000000,160000.000000,0.009138,NaN,NaN
random_connected_er_p010_n400_p0.100_rep1_seed44000,400,8281,585,2,3.000000,92.935636,416725.000000,2519.000000,1352.000000,3.000000,0,412,1.863166,3.000000,1.000000,8000.000000,0.073125,NaN,NaN
random_connected_er_p010_n400_p0.100_rep1_seed44000,400,8281,464,3,5.000000,94.396812,416725.000000,1692.000000,1352.000000,5.000000,0,361,1.251479,5.000000,1.000000,2947.225199,0.157436,NaN,NaN
random_connected_er_p010_n400_p0.100_rep1_seed44000,400,8281,426,4,7.000000,94.855694,416725.000000,1478.000000,1352.000000,7.000000,0,346,1.093195,7.000000,1.000000,1788.854382,0.238141,NaN,NaN
random_connected_er_p010_n400_p0.100_rep1_seed44000,400,8281,412,5,9.000000,95.024755,416725.000000,1411.000000,1352.000000,9.000000,0,335,1.043639,9.000000,1.000000,1325.781607,0.310760,NaN,NaN
random_connected_er_p010_n400_p0.100_rep2_seed44001,400,8218,1482,1,1.000000,81.966415,414885.000000,15082.000000,1312.000000,1.000000,0,625,11.495427,1.000000,1.000000,160000.000000,0.009263,NaN,NaN
random_connected_er_p010_n400_p0.100_rep2_seed44001,400,8218,563,2,3.000000,93.149185,414885.000000,2335.000000,1312.000000,3.000000,0,411,1.779726,3.000000,1.000000,8000.000000,0.070375,NaN,NaN
random_connected_er_p010_n400_p0.100_rep2_seed44001,400,8218,454,3,5.000000,94.475541,414885.000000,1591.000000,1312.000000,5.000000,0,361,1.212652,5.000000,1.000000,2947.225199,0.154043,NaN,NaN
random_connected_er_p010_n400_p0.100_rep2_seed44001,400,8218,426,4,7.000000,94.816257,414885.000000,1439.000000,1312.000000,7.000000,0,343,1.096799,7.000000,1.000000,1788.854382,0.238141,NaN,NaN
random_connected_er_p010_n400_p0.100_rep2_seed44001,400,8218,412,5,9.000000,94.986615,414885.000000,1372.000000,1312.000000,9.000000,0,324,1.045732,9.000000,1.000000,1325.781607,0.310760,NaN,NaN
random_connected_er_p010_n400_p0.100_rep3_seed44002,400,8266,1397,1,1.000000,83.099444,418510.000000,13381.000000,1290.000000,1.000000,0,603,10.372868,1.000000,1.000000,160000.000000,0.008731,NaN,NaN
random_connected_er_p010_n400_p0.100_rep3_seed44002,400,8266,568,2,3.000000,93.128478,418510.000000,2294.000000,1290.000000,3.000000,0,417,1.778295,3.000000,1.000000,8000.000000,0.071000,NaN,NaN
